tax_case_89	OK	1
tax_case_9	OK	0
tax_case_90	OK	1
tax_case_91	OK	56
tax_case_92	OK	1
tax_case_93	OK	0
tax_case_94	OK	1
tax_case_95	OK	1
tax_case_96	OK	0
tax_case_97	OK	1
tax_case_98	OK	1
tax_case_99	OK	0
DONE
